run lumi event CSV_j0_sj0 CSV_j0_sj1 CSV_j1_sj0 CSV_j1_sj1
1 6519 18571700 -354.671 -84.8588 294.867 135.648
1 6519 18571755 -720.198 -108.345 515.337 67.3539
1 7161 20401161 -749.66 -259.362 574.787 387.656
1 9749 27773988 797.397 109.716 -609.839 -163.443
1 10011 28519451 614.043 443.361 -557.531 -259.366
1 56 159033 758.36 67.6897 -698.097 -116.813
1 2945 8389944 718.234 646.654 -825.007 -461.965
1 7674 21860288 897.681 128.406 -632.98 -82.9331
1 9720 27690993 -621.416 -572.025 848.955 104.257
1 9986 28447584 821.519 227.612 -906.647 -92.8011
1 4684 13342353 -614.676 -289.076 659.362 232.084
1 4693 13369842 332.647 196.456 -498.886 -152.87
1 5713 16276002 95.2348 0.644991 -69.6284 -14.0949
1 5408 15406832 717.893 204.495 -691.129 -141.792
1 9919 28256513 -888.505 -99.9252 523.613 106.361
1 8368 23837706 -525.372 -101.278 390.615 169.396
1 8477 24148669 233.855 22.2873 -219.215 -16.8197
1 8366 23831939 -58.2804 -0.813031 -213.72 -65.1151
1 5846 16653205 215.21 103.962 182.629 -10.1929
1 741 2109187 -38.7374 61.2812 -38.0496 -35.9669
1 3744 10666035 -486.828 -207.198 563.15 82.3353
1 3335 9498488 36.7069 5.07508 323.554 83.9894
1 5249 14952113 -793.5 -97.1816 573.623 284.63
1 6198 17656356 -926.375 -199.317 662.086 384.695
1 6200 17661173 569.028 130.229 -423.58 -361.814
1 459 1307012 -284.64 -30.5926 586.749 91.4836
1 1216 3464293 291.203 27.2919 -207.417 -93.9697
1 4217 12011355 -496.442 -224.764 46.8408 48.3472
1 3850 10967652 766.187 255.156 -861.06 -131.821
1 4816 13717745 503.966 300.205 -397.898 -263.751
1 8333 23739668 -725.642 -204.07 785.371 156.483
1 4445 12661962 708.607 72.2657 -621.914 -135.225
1 998 2841671 853.509 103.975 -707.768 -246.916
1 2457 6999481 -79.9622 -49.9725 38.7262 -1.91607
1 2485 7078311 -567.765 -536.807 601.385 430.658
1 2512 7155005 273.593 70.4223 -334.82 -264.412
1 3723 10604203 418.37 36.3268 -150.569 -67.6283
1 3723 10605877 -716.517 -288.387 834.29 130.014
1 5205 14827902 -403.983 -225.884 317.506 327.868
1 5512 15700595 -32.1428 47.6108 -171.312 -51.5592
1 3953 11259207 -532.039 -233.582 -96.0232 -7.66247
1 870 2476296 786.762 277.734 -327.56 -214.411
1 3754 10693913 483.589 106.619 -470.442 -228.696
1 1544 4398041 1022.21 118.543 -983.092 -185.157
1 2478 7057525 -222.657 -255.247 415.517 57.7273
1 2480 7064464 642.041 175.607 -359.33 -234.839
1 5075 14457576 -42.1138 67.9291 32.105 -65.7113
1 4783 13623833 -228.974 -107.874 315.778 278.765
1 6226 17735576 384.609 99.6332 -193.721 -62.7828
1 6482 18465293 -291.53 -174.602 141.024 104.341
1 6482 18466467 375.252 125.667 -332.984 -23.6723
1 1542 4392408 18.1571 -81.9455 -227.56 4.06487
1 3176 9045771 492.94 81.9728 -295.784 -142.425
1 3186 9075871 -1176.68 -146.486 896.577 331.962
1 5187 14777394 -362.561 -52.9441 66.4731 61.5747
1 9801 27922076 -631.484 -84.5185 553.638 117.595
1 6522 18578790 881.949 217.03 -629.608 -555.097
1 43 119877 -603.86 -170.949 709.096 151.674
1 657 1869213 768.287 190.982 -446.289 -84.6133
1 2172 6185605 -598.246 -450.604 740.315 253.392
1 5714 16278496 -901.818 -150.662 562.801 142.661
1 9808 27941376 641.557 176.108 -512.515 -77.5585
1 9916 28247559 -199.208 -163.777 320.02 57.1314
1 96 272081 -6.5652 -58.4062 35.7602 -58.1569
1 798 2272140 -1063.13 -143.473 942.226 256.837
1 3146 8961362 326.329 125.54 -357.638 -26.5448
1 4612 13137497 -748.383 -160.809 717.656 216.672
1 4629 13185433 -754.007 -614.159 760.444 465.661
1 4865 13859633 90.5178 28.4675 -308.577 -43.1441
1 1 1472 903.447 158.214 -746.739 -144.708
1 1002 2852611 -306.43 -62.9632 335.035 118.703
1 1003 2855113 705.976 230.4 -703.345 -150.475
1 5435 15482191 -496.121 -492.179 723.773 101.359
1 5683 16188832 -1004.46 -114.802 524.493 110.858
1 7962 22682292 -1047.77 -270.623 702.87 454.224
1 7452 21230282 666.85 400.578 -570.334 -452.778
1 8234 23455740 -804.397 -510.746 516.61 83.6317
1 5 12557 -848.509 -148.381 866.696 110.713
1 3919 11163361 -541.016 -501.397 259.474 80.7259
1 45 125675 114.022 -11.3031 -139.299 -1.65582
1 1299 3699745 294.716 127.634 -230.452 -114.302
1 2109 6006996 -368.597 -197.318 490.836 47.3736
1 5593 15933445 280.936 173.254 203.344 77.5676
1 2449 6974862 -721.968 -98.6514 402.68 199.32
1 2489 7088954 735.308 270.993 -419.239 -380.326
1 3158 8995023 -793.918 -245.087 761.751 203.503
1 5103 14536829 -103.744 36.7724 279.594 179.23
1 7656 21809656 -503.305 -201.873 641.517 71.4015
1 7656 21811304 584.434 106.359 -328.007 -286.686
1 6 14793 -667.116 -406.871 417.418 380.481
1 3722 10602271 -1174.99 -226.458 1104.94 225.752
1 922 2624180 -315.282 -37.5428 171.335 199.279
1 6501 18520467 641.694 331.375 -703.639 -120.226
1 6788 19338355 -611.595 -310.257 676.96 110.289
1 10 27421 67.4539 -32.6501 9.50991 28.9544
1 3552 10118268 732.824 83.6322 -324.49 -95.0247
1 3678 10478280 -674.234 -491.551 590.112 46.5012
1 5662 16130166 -621.66 -73.0028 488.172 254.963
1 8365 23829266 711.147 251.006 -649.677 -161.707
1 8365 23829380 -476.299 -232.882 441.796 119.063
1 6534 18612921 39.3529 40.0361 -147.899 -69.4386
1 268 763085 604.84 101.38 -369.97 -76.1529
1 274 777927 -573.312 -277.527 735.124 234.366
1 1280 3646562 735.371 275.072 -645.37 -116.469
1 1804 5139208 -602.638 -128.606 489.046 197.559
1 2441 6953361 -988.307 -171.686 953.233 167.941
1 2702 7697703 235.893 66.0347 -127.326 -23.963
1 3341 9516484 964.767 153.973 -623.944 -276.013
1 4462 12710194 -901.546 -228.275 817.071 312.517
1 4474 12746137 -715.307 -334.015 620.646 368.042
1 4476 12749389 673.219 137.346 -593.714 -169.444
1 4476 12749508 -392.177 -99.9404 43.4437 114.634
1 4530 12904540 251.966 190.959 -448.755 -289.301
1 3381 9629525 398.2 126.659 -448.259 -30.817
1 3171 9032159 -16.7641 26.5571 63.5651 -24.8363
1 3180 9059369 -375.349 -309.317 341.07 106.371
1 9921 28262069 418.872 227.224 -546.359 -43.7643
1 10164 28954858 -1153.76 -155.061 935.37 116.404
1 10170 28972013 -368.308 -126.04 284.923 203.07
1 638 1816088 152.373 -23.0425 -53.8028 39.1511
1 3215 9158664 -326.88 -208.137 315.061 330.302
1 675 1920934 783.18 111.871 -710.873 -184.525
1 2758 7856605 -232.059 -62.2164 245.694 22.1613
1 3977 11328557 728.754 96.6962 -181.766 -57.5686
1 5054 14397612 31.6499 55.7534 -84.255 28.8855
1 6069 17289859 -909.505 -172.142 783.054 268.448
1 8347 23777761 566.556 69.0645 -370.175 -251.073
1 6865 19557122 713.44 97.629 -212.026 -79.8117
1 1686 4803332 -235.784 -136.962 315.406 43.4534
1 2003 5704478 645.255 233.507 -438.304 -240.279
1 2907 8280404 -1073.69 -205.66 742.989 168.517
1 2907 8280466 -394.806 -305.704 502.611 101.889
1 2899 8257432 497.834 244.687 -594.751 -103.896
1 2905 8275815 484.077 44.354 37.695 -11.5565
1 3375 9612459 924.004 225.244 -823.597 -387.454
1 4502 12825182 688.613 212.415 -717.587 -112.383
1 5017 14291440 -750.117 -106.45 415.278 80.7858
1 8620 24556627 393.259 359.14 -645.577 -91.8642
1 816 2324311 -172.57 18.6061 -35.5418 -17.7668
1 2954 8414959 371.734 74.6097 -259.021 -68.3615
1 3361 9575089 -141.941 -0.372223 55.0565 124.097
1 6568 18710022 -208.18 10.5228 217.557 148.052
1 7856 22378716 679.584 222.273 -691.353 -140.76
1 7856 22379167 -302.273 -30.1131 299.372 10.8994
1 8654 24652065 722.923 130.714 -755.373 -94.2935
1 8654 24653336 893.052 221.828 -893.121 -193.514
1 9753 27783539 -786.081 -292.799 940.525 102.6
1 9711 27665662 462.694 116.331 -387.794 -162.616
1 9980 28429559 846.322 167.331 -757.096 -159.649
1 9988 28452922 9.29968 -66.673 8.42657 74.5387
1 608 1731133 722.813 185.937 -218.566 -115.479
1 4666 13291630 -654.136 -136.79 372.2 45.6209
1 9513 27100143 684.115 157.81 -741.682 -125.484
1 2850 8118715 182.121 106.72 -173.076 -92.9415
1 7066 20128347 831.065 690.266 -929.882 -136.26
1 7078 20164249 645.428 211.338 -476.529 -333.105
1 177 501593 170.357 62.1056 -132.562 -73.9802
1 282 800746 676.356 122.667 -514.937 -115.913
1 1145 3259555 380.067 81.7449 -458.908 -113.942
1 1478 4209781 -401.907 -77.4836 230.003 52.7164
1 933 2656105 576.219 561.838 -644.196 -425.455
1 1546 4403616 -673.446 -203.511 639.646 240.934
1 2523 7186935 -491.136 -137.716 243.192 184.246
1 2966 8448979 -734.551 -191.279 569.775 63.3269
1 4427 12610894 -614.581 -373.304 798.772 171.077
1 6791 19346362 -505.181 -71.836 329.002 258.788
1 6228 17740566 -74.1072 -67.1234 104.679 0.509877
1 9122 25986021 699.047 367.657 -528.56 -96.4034
1 7243 20632292 -666.699 -250.407 643.318 115.764
1 318 903996 68.6774 -8.81874 2.37253 -10.2078
1 1592 4533585 62.3977 57.2218 -21.3336 -71.2352
1 1949 5550345 -736.611 -289.965 533.453 36.6383
1 1950 5554155 630.792 99.1555 -398.824 -310.473
1 2258 6430361 -227.146 -34.8393 556.586 47.1088
1 3333 9493603 -101.077 22.7577 62.9899 156.158
1 4607 13122468 699.835 100.706 -409.068 -160.151
1 4639 13214718 129.445 113.071 -80.349 23.3882
1 6618 18851731 764.636 349.547 -914.4 -169.129
1 9841 28034495 458.603 256.387 -410.522 -136.078
1 27 76725 156.344 -16.1492 -137.519 -135.781
1 166 471651 -771.488 -137.221 803.788 122.289
1 1498 4264993 493.532 97.0391 -526.74 -127.874
1 1886 5370911 -411.007 -91.6199 363.28 101.176
1 1727 4917268 -91.6272 -29.8859 -380.661 -55.453
