treeMaker->Scan("eventId:AK8PuppijetP4[0].Pt():AK8PuppijetP4[0].Eta():AK8PuppijetP4[0].Phi():AK8PuppijetP4[0].M():AK8PuppijetP4[1].Pt():AK8PuppijetP4[1].Eta():AK8PuppijetP4[1].Phi():AK8PuppijetP4[1].M():AK8PuppijetSDmass[0]:AK8PuppijetSDmass[1]","eventId<=100")
************************************************************************************************************************************************
*    Row   *   eventId * AK8Puppij * AK8Puppij * AK8Puppij * AK8Puppij * AK8Puppij * AK8Puppij * AK8Puppij * AK8Puppij * AK8Puppij * AK8Puppij *
*       40 *        41 * 888.66359 * -0.863687 * -3.010491 * 123.81035 * 588.01756 * -0.748107 * 0.2035361 * 87.934106 * 103.90103 * 79.472244 *
*       41 *        42 * 1037.5783 * 0.1407158 * -2.594914 * 145.11953 * 869.78054 * 0.7379485 * 0.5800020 * 181.60837 * 11.769642 * 103.37660 *
*       42 *        43 * 876.82615 * 0.1738475 * 0.3974856 * 185.59020 * 602.47028 * -0.886065 * -2.773439 * 83.482492 * 112.83504 * 68.588630 *
*       43 *        44 * 951.09512 * 0.9341208 * -1.478670 * 132.46376 * 709.00996 * 0.5666434 * 1.6738872 * 114.53839 * 111.42289 * 97.791076 *
*       44 *        45 * 995.69767 * 0.8542543 * -3.041838 * 132.71144 * 907.49148 * 0.1563790 * 0.2069245 * 140.14093 * 119.67824 * 125.56145 *
*       45 *        46 * 870.33298 * 0.3039599 * 3.0160339 * 124.62953 * 358.44253 * -0.237757 * 0.1421531 * 66.012264 * 107.12863 * 59.627994 *
*       46 *        47 * 881.87468 * 0.7390206 * 2.5343978 * 129.28082 * 794.21659 * -0.056138 * -0.613866 * 118.79751 * 112.41864 * 11.842514 *
*       47 *        48 * 921.53067 * -0.050500 * -0.025477 * 125.55802 * 851.24993 * 0.0437339 * -2.941470 * 126.27856 * 0.6131222 * 105.99175 *
*       48 *        49 * 905.18782 * 0.3797894 * 1.6028107 * 142.38196 * 789.52196 * 0.3351163 * -1.807293 * 104.50697 * 119.81998 * 89.921592 *
*       49 *        50 * 964.42162 * 0.2903991 * -1.211305 * 97.871267 * 919.36784 * -0.231666 * 1.6876511 * 130.72376 * 6.4643912 * 114.56558 *
